Name,Organization,Type,Location,Latitude,Longitude,Bands,Antenna,Elevation
Cebreros Station (CEB1),ESA,Space Agency,"Cebreros, Spain",40.4534748,-4.3682664,"S, X",Parabolic Dish,720.0
UVG Ground Station,Universidad del Valle de Guatemala,University,"Guatemala City, Guatemala",14.603762,-90.489248,,Unknown,1520.0
Auckland,INMARSAT,Company,"Auckland, New Zealand",-36.8508827,174.7644881,"L, Ka",Parabolic Dish,30.0
National Institute for Space Research (INPE) Ground Station,INPE,Government Institution,"Cuiabá, Mato Grosso, Brazil",-15.5954635,-56.0925824,"S, X",Various,179.0
AITEX Ground Station,AITEX (Textile Industry Research Association),Research Institution,"Alcoy, Valencian Community, Spain",38.6898481,-0.4965909,,Unknown,637.0
UPV Ground Station,Polytechnic University of Valencia (UPV),University,"Valencia, Valencian Community, Spain",39.4807342,-0.3410958,,Unknown,10.0
SSC - Clewiston Satellite Station,SSC,Company,"Clewiston, Florida, USA",26.7542312,-80.9336753,"S, X",SSC Antenna,9.0
International University of East Africa (IUEA) Ground Station,International University of East Africa,University,"Kampala, Uganda",0.2842201,32.6070004,,Unknown,1165.0
Rambouillet Teleport,EUTELSAT,Company,"Rambouillet, France",48.5488916,1.78248,"C, Ku, Ka",Parabolic Dish,159.0
USTM Ground Station (Speculative),Université des Sciences et Techniques de Masuku,University,"Franceville, Gabon (Approximate USTM Location)",-1.6310952,13.5506407,,Unknown,355.0
University of Dodoma (UDOM) Ground Station (Potential),University of Dodoma,University,"Dodoma, Tanzania",-6.2042256,35.7977164,,Unknown,1262.0
Paramium Technologies Ground Station Network,Paramium Technologies,Company,"Tucson, Arizona, USA",32.0922008,-110.809041,,Parabolic Dish,891.0
UPM Ground Station,Technical University of Madrid (UPM),University,"Madrid, Community of Madrid, Spain",40.4628515,-3.704893,,Unknown,706.0
SSC - Esrange Space Center Satellite Station,SSC,Company,"Kiruna, Sweden",67.8557995,20.2252821,"UHF, S, X","Multiple S-Band TT&C, S/X-Band Receive",0.0
Satellite Applications Catapult Goonhilly Ground Station Facility,Satellite Applications Catapult,Research Institution,"Goonhilly Downs, Cornwall, England, UK",50.0481728,-5.1810449,"S, X, Ka",Parabolic Dish,109.0
Optical Ground Station Netherlands,Airbus Defence and Space,Company,"Noordwijk, Netherlands",52.2399885,4.4500094,,Optical Terminal,1.0
King Saud University Ground Station,King Saud University,University,"Riyadh, Saudi Arabia",24.7222078,46.6258804,,Unknown,647.0
SIAE Microelettronica Ground Station,SIAE Microelettronica,Company,"Cologno Monzese, Italy",45.5341935,9.274196,Ka,Microwave Dish,137.0
THK University Ground Station,THK University,University,"Ankara, Turkey",39.9457104,32.6869161,,Unknown,811.0
CRISP Ground Station,"Centre for Remote Imaging, Sensing and Processing (CRISP), National University of Singapore (NUS)",Research Institution,National University of Singapore,1.2976493,103.7766916,"S, X",unknown,27.0
ADFA Ground Station,UNSW Canberra Space,University,"Australian Defence Force Academy (ADFA) Campus, Canberra",-35.2917997,149.1661406,,Unknown,605.0
GLONASS Ground Control Station,Russian Space Forces,Government Institution,"Moscow, Russia",55.7568721,37.6150527,,Various,149.0
Woodbine Teleport,SES S.A.,Company,"Woodbine, Maryland, USA",39.3686877,-77.0569484,"C, Ku, Ka",Parabolic Dish,195.0
UBD Ground Station (Possible),Universiti Brunei Darussalam (UBD),University,"Bandar Seri Begawan, Brunei Darussalam (Approximate, UBD Campus)",4.9723778,114.8937827,,Unknown,36.0
COSMIAC Ground Station,University of New Mexico (COSMIAC),University,"Albuquerque, New Mexico, USA",35.0534393,-106.6182761,"S, X",Parabolic Dish,1601.0
Allan Park Teleport,Telesat,Company,"Allan Park, Ontario, Canada",44.1791715,-80.9343922,"Ku, Ka",Parabolic Dish,292.0
Hawaii 1,-,Other,"Hawaii, USA",21.3355147,-157.9046703,"S, X",Parabolic Dish,12.0
Qingdao Ground Station,China Satcom,Company,"Qingdao, China",36.0662299,120.38299,,,9.0
Latvian Geospatial Information Agency (LGIA) GNSS Station,Latvian Geospatial Information Agency,Government Institution,"Riga, Latvia",56.9676941,24.1056221,L,GNSS Receiver,4.0
SSC - Inuvik Satellite Station,SSC,Company,"Inuvik, Canada",68.3190626,-133.54484,"S, X","7.3m, 13m",0.0
Barreira do Inferno Launch Center (CLBI),AEB,Space Agency,"Parnamirim, Rio Grande do Norte, Brazil",-5.9235691,-35.1674227,"S, X",Various,39.0
CubeSat Ground Station (Old Union),Illinois State University,University,"Normal, Illinois, USA (Illinois State University)",40.5087142,-88.9899174,"UHF, VHF",Unknown,244.0
